sample,min,max
1598,-0.651398,0.694763
4792,-0.273499,0.327667
7988,-0.648926,0.713745
11182,-0.466431,0.507904
14378,-0.229034,0.418915
17572,-0.426514,0.692078
20768,-0.240295,0.568726
23962,-0.564056,0.519653
27158,-0.292389,0.389099
30352,-0.327728,0.414001
33548,-0.287201,0.438812
36742,-0.521057,0.513092
39938,-0.214478,0.326721
43132,-0.393738,0.377960
46328,-0.547485,0.600616
49522,-0.671112,0.628754
52718,-0.221008,0.305359
55912,-0.543274,0.756958
59108,-0.279602,0.396027
62302,-0.353546,0.360352
65498,-0.426727,0.751892
68692,-0.507263,0.810669
71888,-0.265961,0.390198
75082,-0.254791,0.323395
78278,-0.367188,0.583221
81472,-0.150238,0.160431
84668,-0.148834,0.197144
87862,-0.474945,0.765350
91058,-0.399017,0.723785
94252,-0.335449,0.497711
97448,-0.350555,0.463104
100642,-0.232300,0.378448
103838,-0.044769,0.041473
107032,-0.024628,0.025482
110228,-0.029633,0.027161
113422,-0.363434,0.456146
116618,-0.411041,0.484161
119812,-0.260925,0.330597
123008,-0.768402,0.793640
126202,-0.517303,0.763916
129398,-0.372833,0.369385
132592,-0.623962,0.760345
135788,-0.454987,0.514313
138982,-0.307556,0.486420
142178,-0.464844,0.483429
145372,-0.432129,0.585724
148568,-0.164886,0.304962
151762,-0.562012,0.774719
154958,-0.273315,0.306244
158152,-0.469757,0.625366
161348,-0.447723,0.605530
164542,-0.169128,0.265289
167738,-0.406433,0.591644
170932,-0.361877,0.518463
174128,-0.165771,0.222076
177322,-0.037384,0.044586
180518,-0.060242,0.100006
183712,-0.035675,0.028259
186908,-0.319061,0.672119
190102,-0.331543,0.618011
193298,-0.256989,0.394531
196492,-0.059540,0.067841
199688,-0.041534,0.045807
202882,-0.021423,0.027130
206078,-0.021271,0.018158
209272,-0.358154,0.480255
212468,-0.793732,0.814209
215662,-0.735474,0.689392
218858,-0.459991,0.731873
222052,-0.420959,0.670258
225248,-0.408752,0.759155
228442,-0.362000,0.538330
231638,-0.199097,0.245422
234832,-0.644287,0.690826
238028,-0.302094,0.329590
241222,-0.606812,0.593750
244418,-0.621735,0.487854
247612,-0.250641,0.315308
250808,-0.239410,0.318970
254002,-0.162140,0.211914
257198,-0.383728,0.456726
260392,-0.773712,0.703705
263588,-0.295959,0.424469
266782,-0.194885,0.343292
269978,-0.259979,0.333038
273172,-0.346527,0.351990
276368,-0.459869,0.619202
279562,-0.464844,0.763000
282758,-0.746979,0.867157
285952,-0.276703,0.456085
289148,-0.132721,0.260559
292342,-0.024689,0.032196
295538,-0.018921,0.033539
298732,-0.402435,0.419678
301928,-0.546021,0.589447
305122,-0.401428,0.554199
308318,-0.484894,0.677460
311512,-0.374573,0.557037
314708,-0.098206,0.090179
317902,-0.030945,0.024323
321098,-0.029449,0.032623
324292,-0.018341,0.019257
327488,-0.024048,0.032745
330682,-0.376892,0.504608
333878,-0.378265,0.474091
337072,-0.620056,0.752075
340268,-0.241089,0.295013
343462,-0.233917,0.235992
346658,-0.113800,0.164307
349852,-0.258911,0.271271
353048,-0.199524,0.195679
356242,-0.374115,0.465942
359438,-0.244965,0.390289
362632,-0.119324,0.153137
365828,-0.042664,0.029022
369022,-0.037231,0.038696
372218,-0.452850,0.402466
375412,-0.723999,0.680420
378608,-0.132233,0.188507
381802,-0.227051,0.254852
384998,-0.697357,0.787140
388192,-0.388794,0.396820
391388,-0.539703,0.528717
394582,-0.670288,0.757568
397778,-0.655365,0.811707
400972,-0.532867,0.771057
404168,-0.694641,0.775879
407362,-0.752380,0.770416
410558,-0.302795,0.258575
413752,-0.647491,0.792023
416948,-0.417480,0.735352
420142,-0.489960,0.635925
423338,-0.399841,0.763000
426532,-0.083618,0.157745
429728,-0.050690,0.064941
432922,-0.112488,0.102692
436118,-0.494965,0.600952
439312,-0.465515,0.547394
442508,-0.452118,0.629150
445702,-0.324646,0.470337
448898,-0.529816,0.763428
452092,-0.224884,0.336456
455288,-0.365540,0.500458
458482,-0.769989,0.697784
461678,-0.573608,0.757446
464872,-0.547729,0.615570
468068,-0.123047,0.152466
471262,-0.025757,0.026245
474458,-0.013245,0.022766
477652,-0.229218,0.246857
480848,-0.528107,0.704376
484042,-0.416473,0.614075
487238,-0.657288,0.757080
490432,-0.503448,0.541718
493628,-0.415283,0.381042
496822,-0.234741,0.273102
500018,-0.101135,0.099915
503212,-0.492432,0.714417
506408,-0.380219,0.688324
509602,-0.074615,0.057587
512798,-0.043365,0.044006
515992,-0.043030,0.048920
519188,-0.567963,0.595642
522382,-0.585449,0.671478
525578,-0.144440,0.211578
528772,-0.099304,0.117981
531968,-0.327606,0.663971
535162,-0.383240,0.380676
538358,-0.391541,0.673920
541552,-0.560944,0.818420
544748,-0.349426,0.389526
547942,-0.385529,0.515015
551138,-0.374298,0.557281
554332,-0.420654,0.594299
557528,-0.460449,0.534088
560722,-0.588898,0.769165
563918,-0.453888,0.703430
567112,-0.099365,0.109589
570308,-0.409851,0.566620
573502,-0.207275,0.255371
576698,-0.038330,0.037720
579892,-0.040009,0.032684
583088,-0.024231,0.022461
586282,-0.045471,0.038116
589478,-0.056946,0.066254
592672,-0.798981,0.811279
595868,-0.620239,0.764923
599062,-0.766479,0.781921
602258,-0.378754,0.608368
605452,-0.512299,0.586975
608648,-0.415436,0.626404
611842,-0.288605,0.314362
615038,-0.176056,0.230225
618232,-0.692688,0.760956
621428,-0.220062,0.228973
624622,-0.498077,0.772461
627818,-0.332367,0.540131
631012,-0.493134,0.466125
634208,-0.200958,0.237854
637402,-0.163300,0.214478
640598,-0.425629,0.703033
643792,-0.261383,0.387817
646988,-0.041260,0.047546
650182,-0.037384,0.035706
653378,-0.041840,0.045471
656572,-0.668060,0.722198
659768,-0.634521,0.767853
662962,-0.345490,0.316864
666158,-0.297485,0.380005
669352,-0.602905,0.778168
672548,-0.544525,0.756653
675742,-0.393982,0.629333
678938,-0.500183,0.658447
682132,-0.132324,0.182098
685328,-0.769287,0.787872
688522,-0.450470,0.648193
691718,-0.539520,0.683838
694912,-0.422028,0.560425
698108,-0.316589,0.495728
701302,-0.347717,0.402679
704498,-0.365448,0.405640
707692,-0.049591,0.067993
710888,-0.072906,0.195618
714082,-0.700043,0.765564
717278,-0.337708,0.384338
720472,-0.402924,0.554504
723668,-0.181183,0.262177
726862,-0.381927,0.457123
730058,-0.141205,0.198425
733252,-0.246368,0.486450
736448,-0.217957,0.352295
739642,-0.300049,0.538391
742838,-0.207153,0.343506
746032,-0.244354,0.242950
749228,-0.301270,0.592651
752422,-0.336761,0.615662
755618,-0.218506,0.286346
758812,-0.050568,0.064911
762008,-0.251099,0.510742
765202,-0.221741,0.393707
768398,-0.427399,0.554413
771592,-0.317200,0.353790
774788,-0.247101,0.333954
777982,-0.454285,0.553253
781178,-0.533112,0.552521
784372,-0.214264,0.242004
787568,-0.224335,0.247589
790762,-0.351868,0.367493
793958,-0.372894,0.573364
797152,-0.370605,0.548737
800348,-0.655884,0.767914
803542,-0.492554,0.505737
806738,-0.219452,0.226593
809932,-0.057129,0.068298
813128,-0.321381,0.563416
816322,-0.277771,0.415100
819518,-0.700989,0.719666
822712,-0.181396,0.324310
825908,-0.158234,0.180481
829102,-0.110992,0.131714
832298,-0.078369,0.109772
835492,-0.618408,0.634033
838688,-0.118835,0.261993
841882,-0.464630,0.583252
845078,-0.684814,0.772736
848272,-0.309570,0.378662
851468,-0.175385,0.258759
854662,-0.105316,0.133179
857858,-0.240082,0.575256
861052,-0.342926,0.547729
864248,-0.288574,0.537140
867442,-0.188751,0.220764
870638,-0.164551,0.214508
873832,-0.024506,0.024078
877028,-0.020355,0.026947
880222,-0.022552,0.023438
883418,-0.206635,0.232910
886612,-0.632141,0.763885
889808,-0.461548,0.752319
893002,-0.095612,0.139832
896198,-0.082428,0.160919
899392,-0.324677,0.355011
902588,-0.296783,0.343079
905782,-0.225006,0.261078
908978,-0.039001,0.046661
912172,-0.018250,0.016602
915368,-0.017365,0.017975
918562,-0.013641,0.017334
921758,-0.709290,0.730530
924952,-0.401550,0.544678
928148,-0.290314,0.415771
931342,-0.559601,0.572876
934538,-0.392639,0.565186
937732,-0.605988,0.620941
940928,-0.718323,0.744232
944122,-0.303040,0.319122
947318,-0.187073,0.201263
950512,-0.759064,0.787598
953708,-0.493774,0.564819
956902,-0.298889,0.586578
960098,-0.274292,0.523285
963292,-0.202423,0.337769
966488,-0.057800,0.054718
969682,-0.083923,0.130402
972878,-0.244446,0.362183
976072,-0.702728,0.776825
979268,-0.717041,0.756897
982462,-0.126312,0.104126
985658,-0.320251,0.548920
988852,-0.324097,0.577972
992048,-0.577271,0.622498
995242,-0.591309,0.698975
998438,-0.114166,0.111725
1001632,-0.571503,0.771667
1004828,-0.864319,0.748413
1008022,-0.342316,0.558655
1011218,-0.267151,0.317841
1014412,-0.376282,0.514832
1017608,-0.325256,0.569824
1020802,-0.216736,0.274658
1023998,-0.283081,0.353821
1027192,-0.293610,0.371124
1030388,-0.410461,0.471588
1033582,-0.139160,0.148254
1036778,-0.326813,0.365295
1039972,-0.421173,0.572174
1043168,-0.485016,0.499329
1046362,-0.450378,0.480164
1049558,-0.253265,0.381500
1052752,-0.501617,0.625641
1055948,-0.490631,0.531677
1059142,-0.187714,0.241364
1062338,-0.396271,0.513245
1065532,-0.040436,0.057526
1068728,-0.019104,0.023621
1071922,-0.087677,0.179565
1075118,-0.084167,0.128235
1078312,-0.343964,0.526886
1081508,-0.335602,0.552582
1084702,-0.399231,0.565796
1087898,-0.346497,0.455902
1091092,-0.357300,0.484222
1094288,-0.267334,0.426392
1097482,-0.189758,0.268707
1100678,-0.419556,0.575500
1103872,-0.495789,0.566925
1107068,-0.604584,0.716278
1110262,-0.253113,0.344910
1113458,-0.419769,0.411530
1116652,-0.290100,0.316559
1119848,-0.222504,0.314209
1123042,-0.309113,0.535187
1126238,-0.516235,0.761749
1129432,-0.305725,0.406555
1132628,-0.226624,0.342743
1135822,-0.561279,0.563599
